MUNICIPALITY OF ESTANCIA,,,,
,,,,
Year,Week,Cases,,
2017,6,1,,
2017,7,10,,
2017,8,0,,
2017,9,0,,
2017,10,0,,
2017,11,0,,
2017,12,0,,
2017,13,0,,
2017,14,0,,
2017,15,0,,
2017,16,0,,
2017,17,0,,
2017,18,0,,
2017,19,0,,
2017,20,0,,
2017,21,0,,
2017,22,0,,
2017,23,0,,
2017,24,0,,
2017,25,0,,
2017,26,0,,
2017,27,0,,
2017,28,0,,
2017,29,0,,
2017,30,0,,
2017,31,2,,
2017,32,0,,
2017,33,2,,
2017,34,1,,
2017,35,0,,
2017,36,0,,
2017,37,0,,
2017,38,0,,
2017,39,0,,
2017,40,1,,
2017,41,0,,
2017,42,0,,
2017,43,0,,
2017,44,0,,
2017,45,0,,
2017,46,3,,
2017,47,0,,
2017,48,0,,
2017,49,0,,
2017,50,0,,
2017,51,0,,
2017,52,0,,
2018,1,0,,
2018,2,0,,
2018,3,0,,
2018,4,1,,
2018,5,1,,
2018,6,1,,
2018,7,1,,
2018,8,1,,
2018,9,2,,
2018,10,0,,
2018,11,0,,
2018,12,0,,
2018,13,1,,
2018,14,0,,
2018,15,0,,
2018,16,1,,
2018,17,0,,
2018,18,0,,
2018,19,0,,
2018,20,0,,
2018,21,0,,
2018,22,2,,
2018,23,0,,
2018,24,0,,
2018,25,0,,
2018,26,1,,
2018,27,3,,
2018,28,0,,
2018,29,0,,
2018,30,5,,
2018,31,2,,
2018,32,1,,
2018,33,1,,
2018,34,4,,
2018,35,11,,
2018,36,2,,
2018,37,2,,
2018,38,4,,
2018,39,0,,
2018,40,1,,
2018,41,2,,
2018,42,0,,
2018,43,1,,
2018,44,2,,
2018,45,2,,
2018,46,0,,
2018,47,0,,
2018,48,3,,
2018,49,3,,
2018,50,0,,
2018,51,1,,
2018,52,2,,
2019,1,5,,
2019,2,3,,
2019,3,2,,
2019,4,7,,
2019,5,5,,
2019,6,0,,
2019,7,1,,
2019,8,4,,
2019,9,0,,
2019,10,1,,
2019,11,4,,
2019,12,3,,
2019,13,3,,
2019,14,2,,
2019,15,2,,
2019,16,0,,
2019,17,1,,
2019,18,6,,
2019,19,4,,
2019,20,9,,
2019,21,4,,
2019,22,6,,
2019,23,7,,
2019,24,10,,
2019,25,21,,
2019,26,9,,
2019,27,43,,
2019,28,14,,
2019,29,22,,
2019,30,9,,
2019,31,34,,
2019,32,54,,
2019,33,7,,
2019,34,4,,
2019,35,2,,
2019,36,30,,
2019,37,20,,
2019,38,14,,
2019,39,10,,
2019,40,4,,
2019,41,8,,
2019,42,3,,
2019,43,0,,
2019,44,1,,
2019,45,6,,
2019,46,7,,
2019,47,6,,
2019,48,3,,
2019,49,9,,
2019,50,5,,
2019,51,0,,
