MUNICIPALITY OF CALINOG,,,,,,
,,,,,,
Year,Week,Cases,,,,
2014,1,0,,,,
2014,2,1,,,,
2014,3,1,,,,
2014,4,0,,,,
2014,5,2,,,,9
2014,6,0,,,,
2014,7,0,,,,
2014,8,0,,,,
2014,9,0,,,,
2014,10,0,,,,
2014,11,2,,,,
2014,12,1,,,,
2014,13,1,,,,
2014,14,0,,,,
2014,15,0,,,,
2014,16,0,,,,
2014,17,0,,,,
2014,18,0,,,,
2014,19,0,,,,
2014,20,1,,,,
2014,21,0,,,,
2014,22,0,,,,
2014,23,1,,,,
2014,24,1,,,,
2014,25,0,,,,
2014,26,0,,,,
2014,27,0,,,,
2014,28,1,,,,
2014,29,0,,,,
2014,30,0,,,,
2014,31,2,,,,
2014,32,10,,,,
2014,33,1,,,,
2014,34,4,,,,
2014,35,3,,,,
2014,36,3,,,,
2014,37,1,,,,
2014,38,4,,,,
2014,39,1,,,,
2014,40,2,,,,
2014,41,7,,,,
2014,42,2,,,,
2014,43,2,,,,
2014,44,4,,,,
2014,45,5,,,,
2014,46,0,,,,
2014,47,0,,,,
2014,48,5,,,,
2014,49,0,,,,
2014,50,0,,,,
2014,51,3,,,,
2014,52,1,,,,
2015,1,4,,,,
2015,2,1,,,,
2015,3,6,,,,
2015,4,4,,,,
2015,5,3,,,,
2015,6,6,,,,
2015,7,3,,,,
2015,8,2,,,,
2015,9,2,,,,
2015,10,3,,,,
2015,11,0,,,,
2015,12,4,,,,
2015,13,1,,,,
2015,14,1,,,,
2015,15,0,,,,
2015,16,0,,,,
2015,17,0,,,,
2015,18,2,,,,
2015,19,1,,,,
2015,20,0,,,,
2015,21,3,,,,
2015,22,4,,,,
2015,23,1,,,,
2015,24,4,,,,
2015,25,2,,,,
2015,26,0,,,,
2015,27,2,,,,
2015,28,0,,,,
2015,29,3,,,,
2015,30,3,,,,
2015,31,14,,,,
2015,32,5,,,,
2015,33,7,,,,
2015,34,2,,,,
2015,35,5,,,,
2015,36,11,,,,
2015,37,7,,,,
2015,38,5,,,,
2015,39,2,,,,
2015,40,5,,,,
2015,41,5,,,,
2015,42,10,,,,
2015,43,2,,,,
2015,44,3,,,,
2015,45,1,,,,
2015,46,3,,,,
2015,47,2,,,,
2015,48,1,,,,
2015,49,3,,,,
2015,50,3,,,,
2015,51,1,,,,
2015,52,3,,,,
2016,1,0,,,,
2016,2,1,,,,
2016,3,3,,,,
2016,4,4,,,,
2016,5,4,,,,
2016,6,5,,,,
2016,7,4,,,,
2016,8,3,,,,
2016,9,1,,,,
2016,10,10,,,,
2016,11,1,,,,
2016,12,0,,,,
2016,13,4,,,,
2016,14,2,,,,
2016,15,3,,,,
2016,16,4,,,,
2016,17,1,,,,
2016,18,1,,,,
2016,19,2,,,,
2016,20,0,,,,
2016,21,1,,,,
2016,22,5,,,,
2016,23,10,,,,
2016,24,16,,,,
2016,25,14,,,,
2016,26,25,,,,
2016,27,22,,,,
2016,28,20,,,,
2016,29,33,,,,
2016,30,39,,,,
2016,31,35,,,,
2016,32,51,,,,
2016,33,29,,,,
2016,34,11,,,,
2016,35,29,,,,
2016,36,16,,,,
2016,37,20,,,,
2016,38,13,,,,
2016,39,2,,,,
2016,40,13,,,,
2016,41,7,,,,
2016,42,6,,,,
2016,43,2,,,,
2016,44,0,,,,
2016,45,0,,,,
2016,46,0,,,,
2016,47,1,,,,
2016,48,3,,,,
2016,49,1,,,,
2016,50,1,,,,
2016,51,0,,,,
2016,52,1,,,,
2017,1,2,,,,
2017,2,2,,,,
2017,3,1,,,,
2017,4,3,,,,
2017,5,2,,,,
2017,6,1,,,,
2017,7,7,,,,
2017,8,0,,,,
2017,9,0,,,,
2017,10,4,,,,
2017,11,1,,,,
2017,12,1,,,,
2017,13,1,,,,
2017,14,1,,,,
2017,15,0,,,,
2017,16,2,,,,
2017,17,1,,,,
2017,18,1,,,,
2017,19,3,,,,
2017,20,0,,,,
2017,21,3,,,,
2017,22,0,,,,
2017,23,0,,,,
2017,24,1,,,,
2017,25,1,,,,
2017,26,0,,,,
2017,27,0,,,,
2017,28,1,,,,
2017,29,2,,,,
2017,30,4,,,,
2017,31,1,,,,
2017,32,2,,,,
2017,33,4,,,,
2017,34,4,,,,
2017,35,2,,,,
2017,36,4,,,,
2017,37,5,,,,
2017,38,1,,,,
2017,39,2,,,,
2017,40,6,,,,
2017,41,1,,,,
2017,42,4,,,,
2017,43,3,,,,
2017,44,4,,,,
2017,45,2,,,,
2017,46,1,,,,
2017,47,2,,,,
2017,48,1,,,,
2017,49,3,,,,
2017,50,1,,,,
2017,51,0,,,,
2017,52,1,,,,
2018,1,4,,,,
2018,2,3,,,,
2018,3,0,,,,
2018,4,0,,,,
2018,5,4,,,,
2018,6,3,,,,
2018,7,1,,,,
2018,8,2,,,,
2018,9,0,,,,
2018,10,1,,,,
2018,11,0,,,,
2018,12,0,,,,
2018,13,1,,,,
2018,14,1,,,,
2018,15,0,,,,
2018,16,1,,,,
2018,17,1,,,,
2018,18,0,,,,
2018,19,0,,,,
2018,20,0,,,,
2018,21,0,,,,
2018,22,0,,,,
2018,23,1,,,,
2018,24,1,,,,
2018,25,0,,,,
2018,26,5,,,,
2018,27,1,,,,
2018,28,1,,,,
2018,29,6,,,,
2018,30,11,,,,
2018,31,2,,,,
2018,32,5,,,,
2018,33,4,,,,
2018,34,5,,,,
2018,35,3,,,,
2018,36,4,,,,
2018,37,0,,,,
2018,38,1,,,,
2018,39,1,,,,
2018,40,3,,,,
2018,41,8,,,,
2018,42,4,,,,
2018,43,0,,,,
2018,44,0,,,,
2018,45,9,,,,
2018,46,9,,,,
2018,47,7,,,,
2018,48,5,,,,
2018,49,9,,,,
2018,50,4,,,,
2018,51,0,,,,
2018,52,5,,,,
2019,1,3,,,,
2019,2,0,,,,
2019,3,10,,,,
2019,4,0,,,,
2019,5,6,,,,
2019,6,5,,,,
2019,7,0,,,,
2019,8,0,,,,
2019,9,11,,,,
2019,10,2,,,,
2019,11,17,,,,
2019,12,13,,,,
2019,13,3,,,,
2019,14,17,,,,
2019,15,9,,,,
2019,16,1,,,,
2019,17,0,,,,
2019,18,0,,,,
2019,19,4,,,,
2019,20,17,,,,
2019,21,19,,,,
2019,22,25,,,,
2019,23,22,,,,
2019,24,27,,,,
2019,25,44,,,,
2019,26,56,,,,
2019,27,8,,,,
2019,28,73,,,,
2019,29,48,,,,
2019,30,59,,,,
