Municipality of Pototan,,
,,
Year,Week,Cases
2017,12,0
2017,13,0
2017,14,0
2017,15,2
2017,16,0
2017,17,0
2017,18,0
2017,19,0
2017,20,1
2017,21,0
2017,22,0
2017,23,1
2017,24,1
2017,25,2
2017,26,5
2017,27,3
2017,28,0
2017,29,4
2017,30,5
2017,31,3
2017,32,7
2017,33,5
2017,34,0
2017,35,3
2017,36,2
2017,37,4
2017,38,2
2017,39,5
2017,40,2
2017,41,0
2017,42,1
2017,43,3
2017,44,1
2017,45,0
2017,46,1
2017,47,3
2017,48,0
2017,49,1
2017,50,2
2017,51,0
2017,52,0
2018,1,1
2018,2,1
2018,3,1
2018,4,0
2018,5,3
2018,6,0
2018,7,2
2018,8,3
2018,9,0
2018,10,0
2018,11,0
2018,12,0
2018,13,0
2018,14,0
2018,15,0
2018,16,0
2018,17,0
2018,18,0
2018,19,0
2018,20,0
2018,21,1
2018,22,0
2018,23,0
2018,24,2
2018,25,3
2018,26,4
2018,27,1
2018,28,3
2018,29,0
2018,30,2
2018,31,4
2018,32,3
2018,33,4
2018,34,0
2018,35,5
2018,36,3
2018,37,3
2018,38,2
2018,39,0
2018,40,1
2018,41,1
2018,42,8
2018,43,0
2018,44,0
2018,45,5
2018,46,3
2018,47,9
2018,48,8
2018,49,11
2018,50,1
2018,51,6
2018,52,5
2019,1,4
2019,2,8
2019,3,17
2019,4,15
2019,5,20
2019,6,10
2019,7,13
2019,8,12
2019,9,7
2019,10,2
2019,11,0
2019,12,3
2019,13,4
2019,14,1
2019,15,1
2019,16,5
2019,17,5
2019,18,11
2019,19,17
2019,20,16
2019,21,29
2019,22,12
2019,23,54
2019,24,75
2019,25,76
2019,26,71
2019,27,117
2019,28,131
2019,29,217
2019,30,102
2019,31,186
2019,32,72
2019,33,40
2019,34,14
2019,35,22
2019,36,19
2019,37,6
2019,38,6
2019,39,10
2019,40,5
2019,41,6
2019,42,4
2019,43,8
2019,44,2
2019,45,3
2019,46,4
2019,47,0
2019,48,0
2019,49,0
2019,50,2
2019,51,1
2019,52,0
2020,1,0
2020,2,1
2020,3,1
2020,4,0
2020,5,0
2020,6,1
2020,7,1
2020,8,0
2020,9,2
2020,10,0
2020,11,0
2020,12,1
2020,13,0
2020,14,0
2020,15,0
2020,16,0
2020,17,0
2020,18,0
2020,19,0
2020,20,1
2020,21,0
2020,22,0
2020,23,1
2020,24,0
2020,25,0
2020,26,0
2020,27,0
2020,28,0
2020,29,0
2020,30,0
2020,31,0
2020,32,0
2020,33,0
2020,34,2
2020,35,0
2020,36,0
2020,37,0
2020,38,0
2020,39,0
2020,40,0
2020,41,0
2020,42,0
2020,43,0
2020,44,0
2020,45,0
2020,46,0
2020,47,0
2020,48,4
2020,49,5
2020,50,1
2020,51,0
2020,52,0
2021,1,0
2021,2,0
2021,3,0
2021,4,0
2021,5,0
2021,6,0
2021,7,0
2021,8,0
2021,9,0
2021,10,0
2021,11,0
2021,12,1
2021,13,0
2021,14,0
2021,15,1
2021,16,0
2021,17,0
2021,18,0
2021,19,0
2021,20,0
2021,21,0
2021,22,1
2021,23,0
2021,24,2
2021,25,0
2021,26,1
2021,27,0
2021,28,3
2021,29,1
2021,30,0
2021,31,0
2021,32,0
2021,33,0
2021,34,0
2021,35,0
2021,36,0
2021,37,0
2021,38,0
2021,39,0
2021,40,0
2021,41,0
2021,42,0
2021,43,1
2021,44,0
2021,45,1
2021,46,0
2021,47,0
2021,48,0
2021,49,0
2021,50,0
2021,51,0
2021,52,1
2022,1,0
2022,2,0
2022,3,0
2022,4,0
2022,5,1
2022,6,1
2022,7,0
2022,8,0
2022,9,0
2022,10,0
2022,11,0
2022,12,1
2022,13,1
2022,14,0
2022,15,1
2022,16,0
2022,17,2
2022,18,1
2022,19,0
2022,20,1
2022,21,5
2022,22,2
2022,23,2
2022,24,3
2022,25,4
2022,26,8
2022,27,14
2022,28,16
2022,29,13
2022,30,6
2022,31,12
2022,32,4
2022,33,2
2022,34,2
2022,35,4
2022,36,3
2022,37,2
2022,38,1
2022,39,0
2022,40,1
2022,41,1
2022,42,1
2022,43,1
2022,44,0
2022,45,1
2022,46,1
2022,47,2
2022,48,2
2022,49,0
2022,50,2
2022,51,2
2022,52,1
2023,1,1
2023,2,0
2023,3,3
2023,4,0
2023,5,1
2023,6,5
2023,7,1
2023,8,0
2023,9,3
2023,10,0
2023,11,1
2023,12,1
2023,13,0
2023,14,1
2023,15,0
2023,16,1
2023,17,0
2023,18,0
2023,19,0
2023,20,0
2023,21,1
2023,22,0
2023,23,2
2023,24,2
2023,25,1
2023,26,2
2023,27,1
2023,28,1
2023,29,1
2023,30,0
2023,31,4
2023,32,1
2023,33,2
2023,34,2
2023,35,2
2023,36,1
2023,37,0
2023,38,2
2023,39,1
2023,40,5
2023,41,1
2023,42,0
2023,43,0
2023,44,1
2023,45,5
2023,46,0
2023,47,0
2023,48,0
2023,49,0
2023,50,0
2023,51,0
2023,52,0
2024,1,1
2024,2,0
2024,3,1
2024,4,0
2024,5,1
2024,6,0
2024,7,2
2024,8,0
2024,9,1
2024,10,0
2024,11,0
2024,12,0
2024,13,0
2024,14,0
2024,15,0
2024,16,1
2024,17,2
2024,18,1
2024,19,2
2024,20,0
2024,21,4
2024,22,1
2024,23,0
2024,24,3
2024,25,8
2024,26,10
2024,27,13
2024,28,14
2024,29,15
2024,30,29
2024,31,29
2024,32,29
2024,33,26
