MUNICIPALITY OF PASSI CITY ,,,,,,
,,,,,,
Year,Week,Cases,,,,
2014,1,2,,,,
2014,2,1,,,,
2014,3,0,,,,
2014,4,0,,,,
2014,5,0,,,,9
2014,6,0,,,,
2014,7,0,,,,
2014,8,1,,,,
2014,9,2,,,,
2014,10,0,,,,
2014,11,0,,,,
2014,12,1,,,,
2014,13,0,,,,
2014,14,0,,,,
2014,15,0,,,,
2014,16,2,,,,
2014,17,0,,,,
2014,18,0,,,,
2014,19,0,,,,
2014,20,1,,,,
2014,21,1,,,,
2014,22,0,,,,
2014,23,2,,,,
2014,24,4,,,,
2014,25,1,,,,
2014,26,3,,,,
2014,27,1,,,,
2014,28,5,,,,
2014,29,5,,,,
2014,30,3,,,,
2014,31,2,,,,
2014,32,10,,,,
2014,33,4,,,,
2014,34,3,,,,
2014,35,4,,,,
2014,36,5,,,,
2014,37,4,,,,
2014,38,5,,,,
2014,39,2,,,,
2014,40,9,,,,
2014,41,3,,,,
2014,42,2,,,,
2014,43,2,,,,
2014,44,8,,,,
2014,45,4,,,,
2014,46,2,,,,
2014,47,5,,,,
2014,48,6,,,,
2014,49,2,,,,
2014,50,1,,,,
2014,51,0,,,,
2014,52,0,,,,
2015,1,4,,,,
2015,2,1,,,,
2015,3,1,,,,
2015,4,0,,,,
2015,5,0,,,,
2015,6,0,,,,
2015,7,0,,,,
2015,8,0,,,,
2015,9,0,,,,
2015,10,0,,,,
2015,11,1,,,,
2015,12,0,,,,
2015,13,0,,,,
2015,14,0,,,,
2015,15,0,,,,
2015,16,0,,,,
2015,17,0,,,,
2015,18,0,,,,
2015,19,1,,,,
2015,20,0,,,,
2015,21,1,,,,
2015,22,0,,,,
2015,23,1,,,,
2015,24,2,,,,
2015,25,0,,,,
2015,26,9,,,,
2015,27,27,,,,
2015,28,19,,,,
2015,29,25,,,,
2015,30,22,,,,
2015,31,29,,,,
2015,32,10,,,,
2015,33,5,,,,
2015,34,21,,,,
2015,35,5,,,,
2015,36,13,,,,
2015,37,13,,,,
2015,38,10,,,,
2015,39,11,,,,
2015,40,11,,,,
2015,41,9,,,,
2015,42,3,,,,
2015,43,2,,,,
2015,44,5,,,,
2015,45,1,,,,
2015,46,2,,,,
2015,47,2,,,,
2015,48,5,,,,
2015,49,3,,,,
2015,50,2,,,,
2015,51,2,,,,
2015,52,0,,,,
2016,1,3,,,,
2016,2,3,,,,
2016,3,2,,,,
2016,4,4,,,,
2016,5,1,,,,
2016,6,0,,,,
2016,7,0,,,,
2016,8,1,,,,
2016,9,3,,,,
2016,10,6,,,,
2016,11,4,,,,
2016,12,4,,,,
2016,13,8,,,,
2016,14,3,,,,
2016,15,1,,,,
2016,16,4,,,,
2016,17,0,,,,
2016,18,4,,,,
2016,19,4,,,,
2016,20,0,,,,
2016,21,1,,,,
2016,22,6,,,,
2016,23,2,,,,
2016,24,4,,,,
2016,25,4,,,,
2016,26,11,,,,
2016,27,15,,,,
2016,28,11,,,,
2016,29,14,,,,
2016,30,15,,,,
2016,31,14,,,,
2016,32,25,,,,
2016,33,26,,,,
2016,34,24,,,,
2016,35,18,,,,
2016,36,13,,,,
2016,37,11,,,,
2016,38,6,,,,
2016,39,7,,,,
2016,40,8,,,,
2016,41,5,,,,
2016,42,5,,,,
2016,43,3,,,,
2016,44,0,,,,
2016,45,0,,,,
2016,46,1,,,,
2016,47,0,,,,
2016,48,1,,,,
2016,49,0,,,,
2016,50,0,,,,
2016,51,1,,,,
2016,52,0,,,,
2017,1,0,,,,
2017,2,1,,,,
2017,3,0,,,,
2017,4,0,,,,
2017,5,0,,,,
2017,6,1,,,,
2017,7,0,,,,
2017,8,1,,,,
2017,9,0,,,,
2017,10,1,,,,
2017,11,0,,,,
2017,12,3,,,,
2017,13,1,,,,
2017,14,3,,,,
2017,15,0,,,,
2017,16,1,,,,
2017,17,0,,,,
2017,18,0,,,,
2017,19,1,,,,
2017,20,1,,,,
2017,21,2,,,,
2017,22,0,,,,
2017,23,1,,,,
2017,24,3,,,,
2017,25,3,,,,
2017,26,4,,,,
2017,27,2,,,,
2017,28,1,,,,
2017,29,1,,,,
2017,30,1,,,,
2017,31,2,,,,
2017,32,7,,,,
2017,33,5,,,,
2017,34,7,,,,
2017,35,4,,,,
2017,36,2,,,,
2017,37,2,,,,
2017,38,4,,,,
2017,39,1,,,,
2017,40,4,,,,
2017,41,2,,,,
2017,42,1,,,,
2017,43,5,,,,
2017,44,2,,,,
2017,45,2,,,,
2017,46,7,,,,
2017,47,6,,,,
2017,48,3,,,,
2017,49,1,,,,
2017,50,2,,,,
2017,51,3,,,,
2017,52,2,,,,
2018,1,1,,,,
2018,2,3,,,,
2018,3,4,,,,
2018,4,3,,,,
2018,5,4,,,,
2018,6,4,,,,
2018,7,0,,,,
2018,8,2,,,,
2018,9,2,,,,
2018,10,0,,,,
2018,11,0,,,,
2018,12,1,,,,
2018,13,0,,,,
2018,14,0,,,,
2018,15,0,,,,
2018,16,0,,,,
2018,17,0,,,,
2018,18,0,,,,
2018,19,1,,,,
2018,20,0,,,,
2018,21,0,,,,
2018,22,0,,,,
2018,23,0,,,,
2018,24,1,,,,
2018,25,0,,,,
2018,26,1,,,,
2018,27,2,,,,
2018,28,4,,,,
2018,29,3,,,,
2018,30,2,,,,
2018,31,11,,,,
2018,32,2,,,,
2018,33,1,,,,
2018,34,2,,,,
2018,35,3,,,,
2018,36,6,,,,
2018,37,1,,,,
2018,38,4,,,,
2018,39,0,,,,
2018,40,0,,,,
2018,41,5,,,,
2018,42,1,,,,
2018,43,1,,,,
2018,44,3,,,,
2018,45,4,,,,
2018,46,11,,,,
2018,47,6,,,,
2018,48,2,,,,
2018,49,1,,,,
2018,50,5,,,,
2018,51,5,,,,
2018,52,7,,,,
2019,1,5,,,,
2019,2,7,,,,
2019,3,10,,,,
2019,4,5,,,,
2019,5,10,,,,
2019,6,11,,,,
2019,7,4,,,,
2019,8,10,,,,
2019,9,23,,,,
2019,10,18,,,,
2019,11,20,,,,
2019,12,15,,,,
2019,13,11,,,,
2019,14,5,,,,
2019,15,11,,,,
2019,16,6,,,,
2019,17,3,,,,
2019,18,8,,,,
2019,19,8,,,,
2019,20,11,,,,
2019,21,13,,,,
2019,22,25,,,,
2019,23,19,,,,
2019,24,38,,,,
2019,25,52,,,,
2019,26,62,,,,
2019,27,67,,,,
2019,28,67,,,,
2019,29,59,,,,
2019,30,67,,,,
2019,31,67,,,,
2019,32,34,,,,
2019,33,29,,,,
2019,34,22,,,,
2019,35,16,,,,
2019,36,6,,,,
2019,37,12,,,,
2019,38,3,,,,
2019,39,11,,,,
2019,40,6,,,,
2019,41,7,,,,
2019,42,6,,,,
2019,43,3,,,,
2019,44,0,,,,
2019,45,1,,,,
2019,46,3,,,,
2019,47,0,,,,
2019,48,1,,,,
2019,49,0,,,,
2019,50,0,,,,
2019,51,0,,,,
2019,52,0,,,,
2020,1,0,,,,
2020,2,2,,,,
2020,3,1,,,,
2020,4,0,,,,
2020,5,2,,,,
2020,6,2,,,,
2020,7,0,,,,
2020,8,0,,,,
2020,9,1,,,,
2020,10,0,,,,
2020,11,0,,,,
2020,12,0,,,,
2020,13,1,,,,
2020,14,0,,,,
2020,15,0,,,,
2020,16,0,,,,
2020,17,0,,,,
2020,18,0,,,,
2020,19,0,,,,
2020,20,0,,,,
2020,21,0,,,,
2020,22,0,,,,
2020,23,1,,,,
2020,24,0,,,,
