MUNICIPALITY OF DUMANGAS,,,,,,
,,,,,,
Year,Week,Cases,,,,
2016,28,3,,,,
2016,29,5,,,,
2016,30,9,,,,
2016,31,7,,,,
2016,32,10,,,,
2016,33,12,,,,
2016,34,13,,,,
2016,35,9,,,,
2016,36,9,,,,
2016,37,5,,,,
2016,38,7,,,,
2016,39,3,,,,
2016,40,1,,,,
2016,41,0,,,,
2016,42,0,,,,
2016,43,2,,,,
2016,44,0,,,,
2016,45,1,,,,
2016,46,0,,,,
2016,47,0,,,,
2016,48,2,,,,
2016,49,0,,,,
2016,50,0,,,,
2016,51,0,,,,
2016,52,1,,,,
2017,1,0,,,,
2017,2,1,,,,
2017,3,1,,,,
2017,4,0,,,,
2017,5,0,,,,
2017,6,0,,,,
2017,7,0,,,,
2017,8,1,,,,
2017,9,2,,,,
2017,10,0,,,,
2017,11,0,,,,
2017,12,0,,,,
2017,13,0,,,,
2017,14,0,,,,
2017,15,0,,,,
2017,16,0,,,,
2017,17,0,,,,
2017,18,1,,,,
2017,19,0,,,,
2017,20,1,,,,
2017,21,0,,,,
2017,22,0,,,,
2017,23,0,,,,
2017,24,1,,,,
2017,25,0,,,,
2017,26,0,,,,
2017,27,0,,,,
2017,28,2,,,,
2017,29,2,,,,
2017,30,1,,,,
2017,31,2,,,,
2017,32,0,,,,
2017,33,2,,,,
2017,34,3,,,,
2017,35,2,,,,
2017,36,0,,,,
2017,37,0,,,,
2017,38,0,,,,
2017,39,1,,,,
2017,40,0,,,,
2017,41,1,,,,
2017,42,3,,,,
2017,43,2,,,,
2017,44,0,,,,
2017,45,3,,,,
2017,46,3,,,,
2017,47,1,,,,
2017,48,1,,,,
2017,49,1,,,,
2017,50,1,,,,
2017,51,0,,,,
2017,52,1,,,,
2018,1,1,,,,
2018,2,1,,,,
2018,3,1,,,,
2018,4,0,,,,
2018,5,0,,,,
2018,6,1,,,,
2018,7,2,,,,
2018,8,0,,,,
2018,9,2,,,,
2018,10,0,,,,
2018,11,2,,,,
2018,12,0,,,,
2018,13,0,,,,
2018,14,0,,,,
2018,15,1,,,,
2018,16,0,,,,
2018,17,0,,,,
2018,18,1,,,,
2018,19,0,,,,
2018,20,1,,,,
2018,21,3,,,,
2018,22,1,,,,
2018,23,3,,,,
2018,24,1,,,,
2018,25,0,,,,
2018,26,2,,,,
2018,27,4,,,,
2018,28,10,,,,
2018,29,9,,,,
2018,30,1,,,,
2018,31,18,,,,
2018,32,9,,,,
2018,33,8,,,,
2018,34,3,,,,
2018,35,2,,,,
2018,36,8,,,,
2018,37,9,,,,
2018,38,7,,,,
2018,39,8,,,,
2018,40,14,,,,
2018,41,21,,,,
2018,42,15,,,,
2018,43,13,,,,
2018,44,6,,,,
2018,45,12,,,,
2018,46,9,,,,
2018,47,5,,,,
2018,48,6,,,,
2018,49,4,,,,
2018,50,6,,,,
2018,51,2,,,,
2018,52,2,,,,
2019,1,2,,,,
2019,2,2,,,,
2019,3,2,,,,
2019,4,4,,,,
2019,5,3,,,,
2019,6,2,,,,
2019,7,0,,,,
2019,8,0,,,,
2019,9,3,,,,
2019,10,1,,,,
2019,11,1,,,,
2019,12,4,,,,
2019,13,2,,,,
2019,14,2,,,,
2019,15,3,,,,
2019,16,0,,,,
2019,17,1,,,,
2019,18,2,,,,
2019,19,2,,,,
2019,20,2,,,,
2019,21,2,,,,
2019,22,3,,,,
2019,23,14,,,,
2019,24,9,,,,
2019,25,15,,,,
2019,26,22,,,,
2019,27,34,,,,
2019,28,38,,,,
2019,29,76,,,,
2019,30,113,,,,
2019,31,111,,,,
2019,32,66,,,,
2019,33,64,,,,
2019,34,83,,,,
2019,35,55,,,,
2019,36,46,,,,
2019,37,40,,,,
2019,38,21,,,,
2019,39,22,,,,
2019,40,18,,,,
2019,41,22,,,,
2019,42,5,,,,
2019,43,15,,,,
2019,44,0,,,,
2019,45,3,,,,
2019,46,5,,,,
2019,47,6,,,,
2019,48,9,,,,
2019,49,0,,,,
2019,50,4,,,,
2019,51,2,,,,
2019,52,0,,,,
2020,1,3,,,,
2020,2,1,,,,
2020,3,0,,,,
2020,4,3,,,,
2020,5,2,,,,
2020,6,2,,,,
2020,7,0,,,,
2020,8,1,,,,
2020,9,0,,,,
2020,10,1,,,,
2020,11,0,,,,
2020,12,0,,,,
2020,13,0,,,,
2020,14,0,,,,
2020,15,0,,,,
2020,16,0,,,,
2020,17,0,,,,
2020,18,0,,,,
2020,19,2,,,,
2020,20,1,,,,
2020,21,0,,,,
2020,22,0,,,,
2020,23,1,,,,
2020,24,0,,,,
2020,25,0,,,,
2020,26,3,,,,
2020,27,1,,,,
2020,28,1,,,,
2020,29,0,,,,
2020,30,0,,,,
2020,31,0,,,,
2020,32,2,,,,
2020,33,1,,,,
2020,34,0,,,,
2020,35,0,,,,
2020,36,0,,,,
2020,37,0,,,,
2020,38,0,,,,
2020,39,0,,,,
2020,40,0,,,,
2020,41,0,,,,
2020,42,0,,,,
2020,43,0,,,,
2020,44,2,,,,
2020,45,0,,,,
2020,46,0,,,,
2020,47,0,,,,
2020,48,0,,,,
2020,49,1,,,,
2020,50,0,,,,
2020,51,0,,,,
2020,52,0,,,,
2021,1,0,,,,
2021,2,1,,,,
2021,3,0,,,,
2021,4,0,,,,
2021,5,0,,,,
2021,6,0,,,,
2021,7,0,,,,
2021,8,0,,,,
2021,9,0,,,,
2021,10,0,,,,
2021,11,0,,,,
2021,12,0,,,,
2021,13,0,,,,
2021,14,1,,,,
2021,15,1,,,,
2021,16,0,,,,
2021,17,0,,,,
2021,18,0,,,,
2021,19,0,,,,
2021,20,0,,,,
2021,21,1,,,,
2021,22,0,,,,
2021,23,0,,,,
2021,24,0,,,,
2021,25,0,,,,
2021,26,3,,,,
2021,27,0,,,,
2021,28,1,,,,
2021,29,0,,,,
2021,30,1,,,,
2021,31,1,,,,
2021,32,0,,,,
2021,33,0,,,,
2021,34,1,,,,
2021,35,1,,,,
2021,36,1,,,,
2021,37,0,,,,
2021,38,1,,,,
2021,39,0,,,,
2021,40,1,,,,
2021,41,1,,,,
2021,42,0,,,,
2021,43,0,,,,
2021,44,0,,,,
2021,45,0,,,,
2021,46,0,,,,
2021,47,0,,,,
2021,48,0,,,,
2021,49,0,,,,
2021,50,0,,,,
2021,51,0,,,,
2021,52,0,,,,
2022,1,0,,,,
2022,2,0,,,,
2022,3,0,,,,
2022,4,0,,,,
2022,5,0,,,,
2022,6,0,,,,
2022,7,0,,,,
2022,8,0,,,,
2022,9,0,,,,
2022,10,0,,,,
2022,11,1,,,,
2022,12,0,,,,
2022,13,0,,,,
2022,14,0,,,,
2022,15,0,,,,
2022,16,0,,,,
2022,17,0,,,,
2022,18,0,,,,
2022,19,0,,,,
2022,20,1,,,,
2022,21,3,,,,
2022,22,3,,,,
2022,23,7,,,,
2022,24,9,,,,
2022,25,10,,,,
2022,26,15,,,,
2022,27,11,,,,
2022,28,11,,,,
2022,29,7,,,,
2022,30,6,,,,
2022,31,3,,,,
2022,32,3,,,,
2022,33,3,,,,
2022,34,2,,,,
2022,35,2,,,,
2022,36,0,,,,
2022,37,1,,,,
2022,38,4,,,,
2022,39,2,,,,
2022,40,2,,,,
2022,41,1,,,,
2022,42,1,,,,
2022,43,4,,,,
2022,44,0,,,,
2022,45,1,,,,
2022,46,1,,,,
2022,47,2,,,,
2022,48,0,,,,
2022,49,1,,,,
2022,50,2,,,,
2022,51,2,,,,
2022,52,0,,,,
2023,1,0,,,,
2023,2,1,,,,
2023,3,0,,,,
2023,4,0,,,,
2023,5,1,,,,
2023,6,3,,,,
2023,7,2,,,,
2023,8,1,,,,
2023,9,1,,,,
2023,10,1,,,,
2023,11,0,,,,
2023,12,0,,,,
2023,13,3,,,,
2023,14,1,,,,
2023,15,1,,,,
2023,16,0,,,,
2023,17,0,,,,
2023,18,0,,,,
2023,19,1,,,,
