Feature,Importance
Cases_lag_3,0.5454567060975958
Cases_lag_4,0.1287252288327274
Temperature_lag_4,0.038543834512903746
Cases_lag_5,0.03238601874628765
Cases_lag_6,0.02304058710090061
Temperature_lag_3,0.020365742844242196
Precipitation_lag_3,0.01915925697355167
Precipitation_lag_2,0.01670708031337542
Temperature_lag_1,0.016340451665910617
Precipitation_lag_4,0.016296881432543833
Humidity_lag_4,0.015959387768715708
Cases_lag_10,0.015047071192111697
Cases_lag_8,0.013882667860807198
Precipitation,0.01280683073003661
Precipitation_lag_1,0.012198001623009613
Cases_lag_11,0.01132189853537255
Cases_lag_9,0.010728685548786086
Humidity_lag_1,0.00993046801052077
Humidity,0.009848194001214006
Humidity_lag_2,0.009662712145137631
Temperature_lag_2,0.006813508063102461
Temperature,0.00604837046182375
Humidity_lag_3,0.004619536245287771
Cases_lag_7,0.004110879294035238
