Feature,Importance
Precipitation_lag_2,0.08419791232782553
Temperature_lag_4,0.08045458303951912
Precipitation_lag_3,0.07885840755679481
Precipitation,0.07833391278403985
Humidity,0.07735013978230972
Humidity_lag_1,0.07004150995103693
Temperature,0.06554061587333537
Temperature_lag_2,0.06530713374314052
Humidity_lag_2,0.06521641655192711
Temperature_lag_3,0.0608491294232554
Precipitation_lag_4,0.05823576647910783
Precipitation_lag_1,0.057375218181510174
Humidity_lag_4,0.05620521153562333
Temperature_lag_1,0.05109894460445833
Humidity_lag_3,0.05093509816611604
