Feature,Importance
Cases_lag_2,0.639193701512903
Cases_lag_3,0.06630468470708822
Precipitation_lag_4,0.05464501032906026
Temperature_lag_4,0.021533496642918745
Humidity_lag_4,0.019605507876758
Temperature_lag_3,0.016734435609698096
Cases_lag_4,0.01553697419002232
Cases_lag_8,0.013997975214162016
Temperature_lag_1,0.01393400795393507
Cases_lag_5,0.013087342991737212
Precipitation_lag_1,0.01287486333742193
Cases_lag_9,0.012767632943999569
Cases_lag_10,0.012532947263723858
Precipitation_lag_2,0.012474896434909033
Humidity_lag_3,0.010562247097202685
Cases_lag_6,0.009163837693564965
Humidity_lag_1,0.00842103328442556
Humidity,0.0080431141892377
Temperature,0.007470923538964238
Precipitation_lag_3,0.007399527800233039
Precipitation,0.007045905562074818
Humidity_lag_2,0.005546375384695374
Temperature_lag_2,0.005265376196550004
Cases_lag_7,0.004682675785377836
Cases_lag_11,0.0011755064593365026
