Feature,Importance
Cases_lag_4,0.3387791638092804
Cases_lag_5,0.09199976021641708
Cases_lag_6,0.08346035270738564
Temperature_lag_4,0.059620467612671146
Humidity_lag_4,0.04202965554727625
Precipitation_lag_4,0.03900554964202384
Cases_lag_7,0.03879313010196422
Precipitation_lag_1,0.03751578469830715
Precipitation_lag_3,0.032302279687623246
Precipitation_lag_2,0.029368095338922002
Temperature_lag_2,0.021318790754230172
Humidity_lag_1,0.021274476227825717
Humidity_lag_2,0.02097475302069066
Cases_lag_8,0.019939220313356935
Humidity,0.019808298899947913
Humidity_lag_3,0.016310263327470587
Temperature_lag_1,0.01610260608388972
Temperature,0.015574983442891238
Precipitation,0.01447239894630877
Cases_lag_9,0.014074712215967032
Temperature_lag_3,0.012211222224269975
Cases_lag_10,0.00796088870036281
Cases_lag_11,0.007103146480917591
