Feature,Importance
Cases_lag_3,0.4633163165289916
Precipitation_lag_1,0.053030233700309154
Cases_lag_4,0.05275607063506837
Cases_lag_5,0.04662500869605837
Precipitation,0.03507474222641221
Cases_lag_9,0.032380159163853894
Cases_lag_10,0.03012945330389851
Humidity_lag_4,0.030025131527969054
Temperature,0.02611285647475646
Cases_lag_8,0.025914399823651513
Temperature_lag_4,0.02119662992165271
Humidity,0.019835311557574373
Humidity_lag_3,0.01955446824454884
Temperature_lag_1,0.01848908584591425
Precipitation_lag_4,0.017233589358240455
Temperature_lag_3,0.01614688963823117
Precipitation_lag_3,0.01593231066425417
Temperature_lag_2,0.014346286800019181
Precipitation_lag_2,0.013466320272807522
Cases_lag_6,0.012720929413983723
Humidity_lag_1,0.010510782272817364
Humidity_lag_2,0.01019093131805118
Cases_lag_7,0.009485281249729405
Cases_lag_11,0.005526811361206664
