Feature,Importance
Cases_lag_5,0.22777691895738655
Cases_lag_2,0.15950623742107212
Cases_lag_4,0.07703074675893477
Cases_lag_3,0.06687280303072363
Temperature,0.04937276829695193
Temperature_lag_4,0.04631805068406548
Temperature_lag_2,0.0406956695986894
Temperature_lag_3,0.03550876234617398
Humidity_lag_3,0.02619211916940069
Precipitation_lag_3,0.022249741010218673
Cases_lag_10,0.02137001770568413
Precipitation,0.01974187126387185
Cases_lag_9,0.019415210420751706
Temperature_lag_1,0.019060542490030613
Humidity,0.01861838144644111
Cases_lag_6,0.01794710710993973
Humidity_lag_2,0.017435569949244095
Humidity_lag_4,0.017181108063989516
Precipitation_lag_4,0.01631702228675675
Precipitation_lag_2,0.015775331926958097
Humidity_lag_1,0.014517094691590094
Cases_lag_11,0.014492750294096902
Cases_lag_8,0.012489375437412614
Precipitation_lag_1,0.01210035104938565
Cases_lag_7,0.012014448590229846
