Feature,Importance
Humidity,0.19148437128299087
Humidity_lag_1,0.12137097027198541
Humidity_lag_2,0.08996897816936471
Precipitation_lag_1,0.08232753076529653
Precipitation,0.08045530702576643
Precipitation_lag_2,0.07359373937015458
Humidity_lag_3,0.058849348514382456
Humidity_lag_4,0.056424916419776726
Temperature_lag_4,0.044116207281523906
Precipitation_lag_3,0.04136529339269022
Precipitation_lag_4,0.03688940388828059
Temperature_lag_1,0.03401357668118624
Temperature,0.03388887051993186
Temperature_lag_3,0.03100688741001619
Temperature_lag_2,0.02424459900665332
