Feature,Importance
Cases_lag_8,0.17740986068425155
Humidity,0.14595515566044284
Cases_lag_10,0.062320154402201434
Humidity_lag_1,0.057411918862695345
Humidity_lag_4,0.05335299681745305
Precipitation_lag_1,0.05274012981074119
Precipitation_lag_4,0.04624124956774241
Cases_lag_9,0.04507576568942071
Precipitation_lag_2,0.044135129785810495
Temperature_lag_4,0.04281780220546115
Precipitation,0.04204468815192198
Cases_lag_11,0.03510020588725468
Humidity_lag_2,0.03441177673025171
Temperature_lag_1,0.03281155823773746
Humidity_lag_3,0.02767713008481392
Temperature_lag_2,0.027629494103842873
Precipitation_lag_3,0.02673908332394651
Temperature_lag_3,0.025118507811102638
Temperature,0.021007392182908004
