Feature,Importance
Cases_lag_4,0.24474735231206554
Cases_lag_5,0.12444992896694361
Humidity,0.051088589295086875
Precipitation_lag_4,0.047803078215471057
Humidity_lag_1,0.045881903187117726
Precipitation_lag_2,0.03593381387646303
Precipitation,0.03526368783269253
Humidity_lag_4,0.034906352890329714
Humidity_lag_3,0.0341922216752664
Temperature_lag_3,0.03332084834813413
Humidity_lag_2,0.030700954817469542
Cases_lag_10,0.02945218397579377
Cases_lag_6,0.02862007163034584
Temperature_lag_4,0.027460123415291447
Cases_lag_8,0.02622001887101599
Precipitation_lag_3,0.024413089864357508
Temperature,0.02405360863671665
Temperature_lag_2,0.023181174384735024
Temperature_lag_1,0.022550336238647595
Cases_lag_7,0.02140515896739133
Precipitation_lag_1,0.01994945764872656
Cases_lag_9,0.019224543353194224
Cases_lag_11,0.015181501596743812
