Feature,Importance
Temperature_lag_4,0.18449478777622738
Precipitation_lag_1,0.09139273149656338
Precipitation,0.07169560532123924
Humidity_lag_1,0.06429169339254795
Precipitation_lag_4,0.06388298854370072
Temperature,0.06361572565652672
Humidity,0.06165632342871315
Temperature_lag_3,0.06118689117793363
Temperature_lag_2,0.056501229431823966
Humidity_lag_4,0.05363484518231063
Temperature_lag_1,0.051624537314640125
Precipitation_lag_3,0.04913645953419141
Humidity_lag_2,0.04429979403568884
Humidity_lag_3,0.04198100643012854
Precipitation_lag_2,0.040605381277764314
