Feature,Importance
Cases_lag_4,0.45717093311988843
Cases_lag_5,0.1038030182416812
Humidity_lag_4,0.0723050850546898
Humidity_lag_3,0.03631768236418916
Precipitation_lag_1,0.026641443982710677
Precipitation_lag_2,0.025590637154537212
Cases_lag_9,0.024482010059531337
Temperature_lag_4,0.023533510333367116
Cases_lag_6,0.02329632052832162
Temperature_lag_3,0.02329426741811999
Humidity_lag_2,0.022879029803497087
Cases_lag_11,0.020386862498196913
Humidity,0.01726090502142809
Precipitation_lag_3,0.017244636543920833
Humidity_lag_1,0.015080309963531715
Cases_lag_10,0.01462432238074984
Precipitation_lag_4,0.013570994008867363
Temperature_lag_1,0.013379617840318325
Cases_lag_8,0.012858122051751936
Cases_lag_7,0.011721606381271558
Temperature,0.010814716996616005
Precipitation,0.0073691861719135275
Temperature_lag_2,0.006374782080900287
