Feature,Importance
Cases_lag_3,0.5586688314117787
Humidity_lag_4,0.04889348938169061
Cases_lag_4,0.04335629757312988
Cases_lag_10,0.026309450795387792
Humidity_lag_1,0.026165708788126314
Cases_lag_11,0.024644934674216395
Humidity_lag_2,0.024376571314130797
Cases_lag_6,0.021804202594984185
Temperature,0.020682140536418474
Cases_lag_5,0.019762971028341732
Temperature_lag_3,0.019429605298897853
Humidity,0.01938000365116694
Humidity_lag_3,0.017981314451901056
Temperature_lag_4,0.017898326270657027
Precipitation,0.015905871842065038
Precipitation_lag_2,0.013788857456084684
Temperature_lag_2,0.013518222531664521
Cases_lag_7,0.013067115265676967
Cases_lag_9,0.011599925045513836
Precipitation_lag_4,0.011290745891355699
Cases_lag_8,0.010026298620086324
Precipitation_lag_1,0.008212185654578036
Temperature_lag_1,0.0073919744877355715
Precipitation_lag_3,0.005844955434411632
