Year-Week,Temperature,Humidity,Precipitation,Cases
2014-01-06,26.73350067136,81.62789154052,32.2999991179,0.0
2014-01-13,25.10921505517143,85.49320220948572,65.7000026702,0.0
2014-01-20,23.87350082395714,82.3728757585857,97.5999966636,0.0
2014-01-27,24.337786538242856,73.9487827845857,13.9000009895,0.0
2014-02-03,25.1592148372,75.76080322265715,31.5999993533,0.0
2014-02-10,27.38778659274286,76.45898219517143,15.100000679499999,0.0
2014-02-17,26.62350082395714,73.57368087767144,13.299998998700001,0.0
2014-02-24,26.130643572100002,68.4490536281,8.7999998331,0.0
2014-03-03,27.18778664722857,68.28088923862857,2.6000002176,0.0
2014-03-10,27.2663582393,66.8100994655,4.1000001133,0.0
2014-03-17,27.080643245142856,76.63207789830001,47.699999094,0.0
2014-03-24,26.93778664722857,73.10930851528572,32.099997729100004,0.0
2014-03-31,28.244929449885717,78.13496180944286,25.5000002161,3.0
2014-04-07,28.859214782685715,71.51688494,2.800000079,0.0
2014-04-14,28.152072361528575,73.93788964407143,38.6000001506,0.0
2014-04-21,27.209215164171432,82.04660143172858,310.3999978304,0.0
2014-04-28,28.587786538242856,76.45528520857144,61.6000038534,0.0
2014-05-05,29.644929340900003,77.79758562362858,8.800000369600001,0.0
2014-05-12,29.84492928641429,72.454851423,13.7000002861,0.0
2014-05-19,29.902072633985714,71.10071127755714,13.5000004769,0.0
2014-05-26,29.709215164171432,73.59137180875715,26.8999995589,0.0
2014-06-02,29.852072307042857,72.94774300712858,20.8000009656,0.0
2014-06-09,29.623500551485712,74.8485750471,30.2999994159,0.0
2014-06-16,29.716357912314287,76.2256992884857,36.9999992848,0.0
2014-06-23,28.030644008071427,80.03305380685713,67.5000011921,0.0
2014-06-30,28.53064319062857,77.79664938788572,71.2000017166,0.0
2014-07-07,27.266357421857144,83.44524274552857,73.1000018119,0.0
2014-07-14,27.830643790085713,81.72397395544286,48.6999974251,3.0
2014-07-21,27.509215218671432,82.02929469517143,149.4000010489,5.0
2014-07-28,27.380643572114284,80.69250270299999,75.0000011923,0.0
2014-08-04,27.55921500067143,79.9534628731857,32.5000005066,2.0
2014-08-11,29.166357857814287,72.75615147182857,3.1000000984,0.0
2014-08-18,29.016357966828572,73.47322627475714,71.9000042677,1.0
2014-08-25,28.523500714971426,78.86070469445714,42.2999989987,3.0
2014-09-01,27.42350087844286,79.77676609582856,78.09999847419999,5.0
2014-09-08,27.387786320271427,81.48219408308572,102.4000062942,1.0
2014-09-15,27.452072416014285,80.7046595982,82.2999970914,1.0
2014-09-22,28.22350093297143,77.94781167167142,68.9999998807,1.0
2014-09-29,29.159215109685714,73.71095057897142,44.3000006973,1.0
2014-10-06,28.80207225252857,77.28054918561429,95.5999994279,0.0
2014-10-13,27.14492961337143,82.96365138462856,128.6000053286,2.0
2014-10-20,27.409215109685714,80.23189871651428,57.3000004291,1.0
2014-10-27,28.0592147282,78.90763854978572,42.899998188,1.0
2014-11-03,28.159214837185715,79.25597926548572,26.9000003337,0.0
2014-11-10,28.144929340885714,71.53026417322857,12.100000672099998,1.0
2014-11-17,27.980643953585716,77.9249583653,25.9000008851,0.0
2014-11-24,28.387786320271427,77.72854178292857,29.4999996424,2.0
2014-12-01,27.12350082394286,84.48557172502856,105.80000257500001,0.0
2014-12-08,27.116358075814286,79.75300598144285,66.1000010968,0.0
2014-12-15,27.566357748828572,78.81026567732859,36.8000017181,1.0
2014-12-22,26.902072361514286,83.16224779401429,43.4000029564,0.0
2014-12-29,26.816357748842854,83.01551709857144,42.399998188000005,0.0
2015-01-05,26.16635785782857,83.40360695975714,80.3000004292,0.0
2015-01-12,25.944929395400003,76.64630453927143,10.3999999538,0.0
2015-01-19,25.952072416028575,77.83903067452857,19.1999988556,0.0
2015-01-26,26.8663580758,76.86997767857143,26.8000011146,1.0
2015-02-02,26.223500660471426,78.35168348041428,12.1999999881,0.0
2015-02-09,25.82350076947143,72.52846091132857,2.7000000552000003,0.0
2015-02-16,27.023500987442862,78.0188609532,3.7000000255,0.0
2015-02-23,26.730643953585716,66.20726231165715,3.4999998138,1.0
2015-03-02,27.544929504371428,67.46772384641429,3.2000000253,0.0
2015-03-09,27.559215273157143,69.40755517142857,9.9000001548,1.0
2015-03-16,27.723500660471426,62.67893491472857,2.6000000983,0.0
2015-03-23,28.7306436811,57.02384676251428,0.3000000045,0.0
2015-03-30,28.509215218671432,70.36442947387143,12.8999994994,0.0
2015-04-06,29.852072034557146,60.21866444181428,4.1999998688,0.0
2015-04-13,29.473500660471426,65.40344456262856,4.800000235500001,0.0
2015-04-20,29.802071980042857,68.63437761579999,19.5000003577,0.0
2015-04-27,30.252072470514285,64.70804595948572,10.4000003338,0.0
2015-05-04,29.544928959414285,68.31020573207142,33.6999985724,0.0
2015-05-11,30.152072089071428,67.38276399885714,2.4000000656,0.0
2015-05-18,30.916357857842858,61.696944645442855,5.4000003412,0.0
2015-05-25,31.373500279,57.9885924203,9.1000002623,0.0
2015-06-01,31.2806437356,59.433478764114284,9.3000000715,0.0
2015-06-08,30.637786320271427,65.91921343122857,22.2999996542,0.0
2015-06-15,30.6163580758,68.84639522007143,35.2000010014,0.0
2015-06-22,28.30207225252857,78.63172803605714,89.8000025748,0.0
2015-06-29,29.216358184800004,75.14981624058571,65.8999993354,2.0
2015-07-06,26.959215164185714,84.24075971332857,105.0000057221,0.0
2015-07-13,27.616357803314287,80.78235953192858,29.3000000716,0.0
2015-07-20,29.416358130314286,71.77873447962857,1.1000000165000001,0.0
2015-07-27,28.966357912342858,75.07374245778571,40.3999991417,1.0
2015-08-03,27.887786865200002,81.73111942837143,58.100000381499996,2.0
2015-08-10,27.502072470514285,81.27760859895714,61.000000238300004,2.0
2015-08-17,28.759214946185715,78.18955121722857,29.7000002861,4.0
2015-08-24,28.180643626614287,78.47536795478572,30.2999993562,0.0
2015-08-31,29.03064346312857,72.72963823592856,40.10000211,0.0
2015-09-07,28.766358239314286,78.24540928431429,54.9999995232,1.0
2015-09-14,28.13778659272857,81.0032610212,61.6000022888,0.0
2015-09-21,28.237786701728574,80.2483139038,77.8000001907,1.0
2015-09-28,27.823500769457144,81.52595084055714,74.3999984265,0.0
2015-10-05,28.052071980042857,77.36446380612857,39.599997259700004,0.0
2015-10-12,28.759215491128572,78.21025303431429,27.1999998093,2.0
2015-10-19,28.230643408614288,78.0005743844,19.100000024,0.0
2015-10-26,29.230643953585716,71.96408517018571,4.9000000954,0.0
2015-11-02,28.737786156757142,74.5705697196,25.599999167,1.0
2015-11-09,27.802071980057143,82.4437866211,45.8000001908,0.0
2015-11-16,28.652072361514286,78.59192984445714,14.3999997676,0.0
2015-11-23,28.3449292864,78.95447213308572,15.6999999284,0.0
2015-11-30,28.17350060597143,79.95718710765713,21.3000004291,1.0
2015-12-07,27.973500660471426,79.76319994242856,23.499999821099998,0.0
2015-12-14,28.537786483757145,78.29764011927143,9.900000371099999,0.0
2015-12-21,27.70207214352857,80.33905247278572,45.2999991776,0.0
2015-12-28,27.04492977687143,78.35359300885715,20.5000001192,0.0
2016-01-04,27.47707230702857,75.80661446707143,12.100000523,0.0
2016-01-11,28.009215218671432,72.63263593402857,3.7000001221,1.0
2016-01-18,27.98778670174286,68.96587589808571,4.4000002294,1.0
2016-01-25,26.523500714957144,83.11864362444285,64.6999981404,0.0
2016-02-01,27.43778664724286,77.90097154889999,23.7999988348,1.0
2016-02-08,26.63778659272857,78.47569601875715,47.6000010967,1.0
2016-02-15,26.652072089042857,78.73548562185715,16.9000000358,0.0
2016-02-22,26.787786483742856,79.77984946112858,27.5999993384,1.0
2016-02-29,28.06635802131429,75.79851640975714,4.3000003248,1.0
2016-03-07,28.7949292319,68.42801829745714,3.7000001668,1.0
2016-03-14,29.123500551485712,64.0883756365,1.6000000833999999,1.0
2016-03-21,29.57350104194286,60.83368301391429,0.9000000134,1.0
2016-03-28,29.459214891685715,66.65727342878571,5.3000003397,0.0
2016-04-04,30.60207176207143,60.938648223871425,3.4000001774,1.0
2016-04-11,31.43064335412857,62.3852141244,7.9000003934,2.0
2016-04-18,31.330642972671427,57.75262505667143,1.5000000224,0.0
2016-04-25,31.7735004425,59.013947623128566,9.0999997556,0.0
2016-05-02,31.452072416028575,64.13171550205713,8.0999999717,0.0
2016-05-09,32.19492966787143,57.369319915757146,3.8000001236000003,0.0
2016-05-16,31.244929177414285,63.70077024187143,31.099999189400002,1.0
2016-05-23,30.573501041942855,69.78462001254286,33.0000014305,1.0
