Year-Week,Temperature,Humidity,Precipitation,Cases
2014-01-06,27.157500839239997,78.60102539062,10.0000004546,0.0
2014-01-13,25.524643489299997,81.5063683646,49.8999996782,0.0
2014-01-20,24.274644034257143,79.91919817245714,40.6000032426,0.0
2014-01-27,24.63892936705714,73.06667109898571,8.3999995292,0.0
2014-02-03,25.774643216814287,72.97335488455714,49.8999988586,0.0
2014-02-10,27.90321486334286,73.28451429094285,6.2999999523,0.0
2014-02-17,27.003214427385718,71.85005787441429,4.3999999761,1.0
2014-02-24,26.646072660171427,65.72725895474285,3.1000000238,0.0
2014-03-03,27.717500686642857,63.36936187744286,0.600000009,0.0
2014-03-10,28.338929312557145,61.013414655400005,0.1000000015,1.0
2014-03-17,27.810357775014285,70.58553750174285,44.999994993099996,0.0
2014-03-24,28.103214808871428,66.99585778372857,10.900001183199999,0.0
2014-03-31,28.831786564414283,73.33494349888572,11.600000061100001,0.0
2014-04-07,29.81750079564286,64.55993270872857,1.2000000476000001,0.0
2014-04-14,29.5675010681,63.51273509435715,25.0999998003,0.0
2014-04-21,28.096072060700003,78.57286834718572,184.7999897599,0.0
2014-04-28,29.1317866189,72.95342036655714,38.5000024215,0.0
2014-05-05,30.081786564414283,72.44520241874285,5.7000001148,0.0
2014-05-12,30.253215244842856,68.98558262418571,9.3000005336,0.0
2014-05-19,30.324643816257144,69.41604614257143,16.699999898599998,0.0
2014-05-26,30.103215081357146,70.0787157331143,24.6000000536,0.0
2014-06-02,29.988929203571427,71.96841430664286,21.399999857,0.0
2014-06-09,29.538929530542855,75.09956686837143,31.1000002623,0.0
2014-06-16,28.96035793847143,81.55052076067143,66.4000015259,0.0
2014-06-23,27.4960722242,85.55132620675714,73.8000018596,1.0
2014-06-30,28.296072278685717,79.39279937745714,79.7999973298,0.0
2014-07-07,26.988929476028574,85.70548793247143,112.10000133529999,3.0
2014-07-14,27.2603577205,87.04736764088571,105.8000023366,1.0
2014-07-21,27.296072278714288,83.38684626988571,163.30000209809998,0.0
2014-07-28,27.217500959114286,83.57521602087142,84.8999996184,0.0
2014-08-04,26.93892914907143,85.79705047608572,65.9999995232,0.0
2014-08-11,28.646072115228574,76.97461046492857,12.5999994055,2.0
2014-08-18,28.781786509914287,75.05283464704287,73.20000076299999,3.0
2014-08-25,28.40321513582857,82.1956906999857,45.3999999166,2.0
2014-09-01,27.2460722242,79.92251477922856,63.1000018119,1.0
2014-09-08,27.181786400914287,83.3703667777,119.599993229,3.0
2014-09-15,26.831786291942855,83.8067212786,102.5999982357,0.0
2014-09-22,27.831786291928573,80.71860177175714,78.89999187,1.0
2014-09-29,29.18178640092857,73.56419045584286,31.500000059599998,0.0
2014-10-06,28.3317868369,79.31758008685713,77.9000000954,1.0
2014-10-13,26.410357883985714,86.71730913434286,147.3000057935,1.0
2014-10-20,27.760357992985714,79.25757489884286,56.699998378800004,1.0
2014-10-27,28.760357720514286,75.16950116839999,17.0000005067,1.0
2014-11-03,28.531786509914287,76.18150983537143,12.6999999657,2.0
2014-11-10,28.56750106812857,70.01199885777143,4.999999821199999,0.0
2014-11-17,28.67464365277143,72.58812168668571,9.3000004664,0.0
2014-11-24,29.031786509928573,74.74453081404286,8.6000001728,0.0
2014-12-01,27.731786455414287,82.73565128871428,83.4999985695,0.0
2014-12-08,27.6103578295,76.81089237757143,40.300001204,0.0
2014-12-15,27.753214972357142,78.2636969430143,21.8000004292,2.0
2014-12-22,27.217500686642857,79.07855551582858,28.1999996678,0.0
2014-12-29,27.353215353814285,79.35703059605714,9.700000494900001,0.0
2015-01-05,26.48178618294286,80.917048863,48.39999857550001,0.0
2015-01-12,26.317500523157143,73.37541416712858,4.4000000954,0.0
2015-01-19,26.6103578295,73.13607897077142,7.9999995753999995,0.0
2015-01-26,27.36035810197143,76.1542652675,21.599999487399998,0.0
2015-02-02,26.831786564428572,74.79491533551429,3.9999999255,0.0
2015-02-09,26.610357557014286,67.89351981027143,0.8000000119,1.0
2015-02-16,28.246072224214288,69.85774230955714,4.6000002027,2.0
2015-02-23,27.446072442200002,63.030397142685715,0.9000000954,0.0
2015-03-02,28.62464359827143,61.677886962885715,0.1000000015,0.0
2015-03-09,28.924643107814287,61.8607444763,1.7000000999,1.0
2015-03-16,29.07464354377143,55.32471575054286,0.400000006,0.0
2015-03-23,30.296072278685717,49.389046805242856,0.5,0.0
2015-03-30,29.69607189722857,60.729705265585714,3.1000002474,0.0
2015-04-06,31.48178618294286,52.381546020500004,0.9000000283,0.0
2015-04-13,30.9175000872,54.23913901192857,0.5000000149,0.0
2015-04-20,31.096071788228574,60.49856621877143,8.2000003979,2.0
2015-04-27,31.738929203571427,53.74029268538572,0.9000000134,0.0
2015-05-04,31.224642617328566,58.95496313912857,30.7000000477,0.0
2015-05-11,30.796072006214285,61.105201721185715,2.9000000134,0.0
2015-05-18,32.37464223588571,51.869536263614286,1.6000000536,0.0
2015-05-25,31.574642998828573,58.04068647112857,12.5000001788,0.0
2015-06-01,31.1175000327,63.53116553168571,7.5000000969,0.0
2015-06-08,31.188929149085713,63.743370601128575,19.3999992608,0.0
2015-06-15,31.038929258057145,66.92965207778572,37.8999974727,0.0
2015-06-22,28.196072169714284,79.64523533412857,91.6000051498,0.0
2015-06-29,29.288929530542855,74.59560721261428,67.79999804490001,1.0
2015-07-06,26.217500414157143,88.06771959577142,210.29999542230001,0.0
2015-07-13,26.96035793847143,87.49425179617143,94.4000005722,1.0
2015-07-20,28.824643816257144,76.61208016532858,3.0000000596,1.0
2015-07-27,29.096071788242856,73.2617514473857,34.5999994874,0.0
2015-08-03,28.196072442185713,80.49213082450001,54.399999857,0.0
2015-08-10,26.717500686657143,85.74979182652858,117.9000005723,2.0
2015-08-17,28.760358265457143,80.43757629394285,37.1999979019,0.0
2015-08-24,27.546072278714288,82.06624385287144,57.500002145799996,0.0
2015-08-31,29.053214754371428,74.81084987095714,31.900000155,1.0
2015-09-07,28.717500686642857,78.52391270228573,58.0999979972,2.0
2015-09-14,27.453214917857142,85.73722839355715,92.100004673,1.0
2015-09-21,28.367500577642858,81.06564113072857,61.4999985696,0.0
2015-09-28,27.403214863357142,83.38426753454284,84.7999968529,1.0
2015-10-05,28.1317866189,77.5739364624,44.6000019312,0.0
2015-10-12,28.8246432713,78.55359213691429,22.2000004053,0.0
2015-10-19,28.1817866734,77.77578844341429,33.2999984623,0.0
2015-10-26,28.831786564414283,75.93469020298572,14.8999994546,0.0
2015-11-02,29.060358047485714,71.6293509347,6.1000001431,0.0
2015-11-09,28.203214917857142,77.14719608852859,22.9999999404,0.0
2015-11-16,28.9960722242,71.95246996198571,4.7000002265,0.0
2015-11-23,28.860357557014286,72.20283944265715,5.1000002026,0.0
2015-11-30,28.90321486334286,72.26155417305714,4.300000146,0.0
2015-12-07,28.838929312571427,71.6467590332,8.2000002265,0.0
2015-12-14,29.360357284542857,70.39734322682857,4.0999999568000005,0.0
2015-12-21,27.896072115214285,79.28111049108573,59.1000013352,0.0
2015-12-28,27.381786346428573,75.20956747870001,27.5000015796,0.0
2016-01-04,28.20678642817857,70.08967590332142,3.2000000925000003,0.0
