Year-Week,Temperature,Humidity,Precipitation,Cases
2014-09-08,26.71564292907143,83.75059945244286,119.599993229,8.0
2014-09-15,26.34421457562857,85.23894064767144,102.5999982357,11.0
2014-09-22,27.35850034441429,81.46353585378571,78.89999187,5.0
2014-09-29,28.587071827485715,75.27694157192857,31.500000059599998,7.0
2014-10-06,27.77278573172857,80.46709660122858,77.9000000954,10.0
2014-10-13,26.065643038071432,87.29054260254286,147.3000057935,1.0
2014-10-20,27.565643038071432,79.2638800485,56.699998378800004,1.0
2014-10-27,28.522786004214286,74.92071533202856,17.0000005067,1.0
2014-11-03,28.36564336504286,75.64660535538572,12.6999999657,0.0
2014-11-10,28.365643365057142,69.60701642717143,4.999999821199999,2.0
2014-11-17,28.587072099985715,72.03468976701429,9.3000004664,1.0
2014-11-24,28.829928806857144,74.43780190604285,8.6000001728,3.0
2014-12-01,27.687071663999998,81.21340833391427,83.4999985695,0.0
2014-12-08,27.494214739128573,76.338407244,40.300001204,3.0
2014-12-15,27.54421452112857,78.07400403702857,21.8000004292,1.0
2014-12-22,27.337071827485715,77.14244624545714,28.1999996678,2.0
2014-12-29,27.551357269285713,76.79455893379999,9.700000494900001,0.0
2015-01-05,26.579929079328572,79.03575134277142,48.39999857550001,0.0
2015-01-12,26.501357759771427,71.45498330252857,4.4000000954,1.0
2015-01-19,26.865643092557143,70.33947208949999,7.9999995753999995,0.0
2015-01-26,27.372786113214286,73.68359810965714,21.599999487399998,1.0
2015-02-02,27.11564309257143,71.95336968558571,3.9999999255,2.0
2015-02-09,26.922785895214282,64.37759508405715,0.8000000119,0.0
2015-02-16,28.44421413964286,66.15299333845715,4.6000002027,0.0
2015-02-23,27.922786440185714,58.96059036254285,0.9000000954,0.0
2015-03-02,28.994214739128573,57.928986685614284,0.1000000015,0.0
2015-03-09,29.329928534371426,57.95289284844286,1.7000000999,0.0
2015-03-16,29.422786167714285,52.0280772618,0.400000006,0.0
2015-03-23,30.065643310557142,48.98047855921429,0.5,0.0
2015-03-30,30.03707122802857,57.0278805324,3.1000002474,0.0
2015-04-06,31.437071664,51.398723057342856,0.9000000283,0.0
2015-04-13,31.094214848114287,51.62526757377143,0.5000000149,0.0
2015-04-20,31.137071609499998,58.156971522757146,8.2000003979,1.0
2015-04-27,31.687071119057144,53.009542192728574,0.9000000134,0.0
2015-05-04,30.8584992545,59.42462757655714,30.7000000477,0.0
2015-05-11,30.144214630114284,63.07856314521429,2.9000000134,0.0
2015-05-18,31.744214194171427,53.97095435005714,1.6000000536,0.0
2015-05-25,30.72992869785714,61.63057817732857,12.5000001788,0.0
2015-06-01,30.329928806842855,67.06820951188571,7.5000000969,0.0
2015-06-08,30.47992869784286,66.18055997575713,19.3999992608,0.0
2015-06-15,30.38707133702857,68.97356578282857,37.8999974727,0.0
2015-06-22,27.872786385685714,80.04247937885714,91.6000051498,0.0
2015-06-29,28.672785895214286,75.85417175292856,67.79999804490001,1.0
2015-07-06,25.758500235428574,88.59205954417143,210.29999542230001,2.0
2015-07-13,26.5727863312,88.09143611364286,94.4000005722,1.0
2015-07-20,28.4227861677,77.32304600305714,3.0000000596,2.0
2015-07-27,28.629928861357143,72.88077327184286,34.5999994874,1.0
2015-08-03,27.787071772971426,80.07557678222858,54.399999857,3.0
2015-08-10,26.27278600422857,86.5672367641,117.9000005723,1.0
2015-08-17,28.36564336504286,79.78913116454285,37.1999979019,1.0
2015-08-24,27.101357323785717,83.22013636998572,57.500002145799996,0.0
2015-08-31,28.522786004214286,75.47914668492857,31.900000155,0.0
2015-09-07,28.18707193647143,78.96469879150001,58.0999979972,2.0
2015-09-14,26.944214684614284,86.22960335867143,92.100004673,3.0
2015-09-21,27.972786222185714,80.02626255581428,61.4999985696,4.0
2015-09-28,26.9585004534,84.0049547468,84.7999968529,0.0
2015-10-05,27.772786004199997,78.3155593872,44.6000019312,8.0
2015-10-12,28.329929079342858,79.15829576764285,22.2000004053,2.0
2015-10-19,27.722785677242857,78.66376168387144,33.2999984623,1.0
2015-10-26,28.294214793628573,77.46806771415716,14.8999994546,2.0
2015-11-02,29.022786004199997,70.77730669294286,6.1000001431,3.0
2015-11-09,28.265643528542856,75.47310311455715,22.9999999404,4.0
2015-11-16,29.05850028991429,69.89656175885715,4.7000002265,4.0
2015-11-23,29.07992880687143,69.07067326135714,5.1000002026,5.0
2015-11-30,29.144214630128573,69.44569178991428,4.300000146,1.0
2015-12-07,29.244214739128573,67.7847884042,8.2000002265,0.0
2015-12-14,29.71564292907143,66.32718603952857,4.0999999568000005,4.0
2015-12-21,27.722785949714286,78.47904423305714,59.1000013352,0.0
2015-12-28,27.458500180914285,73.4884109497,27.5000015796,5.0
2016-01-04,28.451357432778572,66.98944881983572,3.2000000925000003,1.0
2016-01-11,29.30850001742857,62.9773603167,1.0000000298,1.0
2016-01-18,29.51564298357143,58.14720971241429,0.0,0.0
2016-01-25,27.80135781425714,70.74229594639999,34.4000017569,8.0
2016-02-01,28.829929079342858,67.04264504567142,15.600000239900002,4.0
2016-02-08,28.28707204547143,65.28484671458571,65.4000017644,1.0
2016-02-15,27.508500235442856,70.76676341464285,4.9000002146,0.0
2016-02-22,28.22278594972857,66.26915904454286,9.8000007644,4.0
2016-02-29,29.787071773,63.27532250541429,1.0999999941,2.0
2016-03-07,30.587071827485715,56.714225224085716,1.0000001192,1.0
2016-03-14,31.25850050792857,50.72398430958572,0.0,1.0
2016-03-21,31.6513571058,47.55257470268571,0.200000003,1.0
2016-03-28,31.594214030685716,51.24074336461428,1.3000000492,1.0
2016-04-04,32.722784314814284,47.8726272583,0.400000006,0.0
2016-04-11,32.14421354022857,56.869139535085715,9.9000000357,0.0
2016-04-18,32.64421299524285,49.67364665441429,0.7000000253,0.0
2016-04-25,32.41564178467143,54.449037279399995,6.6000003814,4.0
2016-05-02,32.35849870952857,57.5445840018,7.2999997214,0.0
2016-05-09,33.2442125593,50.25634111678572,1.7000000328000002,1.0
2016-05-16,31.051356724314285,63.738359178814285,32.2999996542,0.0
2016-05-23,29.75135748727143,74.18051910401428,34.0999996663,3.0
2016-05-30,29.622786385700003,76.43246786934286,54.0000009537,5.0
2016-06-06,28.837071554985716,76.04417201449999,39.399998188,2.0
2016-06-13,29.608499799428575,73.60597337992856,35.0000007151,0.0
2016-06-20,28.151357650757145,79.59868512835715,101.7999992371,15.0
2016-06-27,27.64421463012857,82.2661819458,106.0000023842,11.0
2016-07-04,26.744214466657144,87.13118307929999,93.5999994278,18.0
2016-07-11,29.29421424867143,74.8387549264,25.8999996185,21.0
2016-07-18,29.1727858952,74.72698756625714,26.399999022499998,22.0
2016-07-25,27.9727862222,80.70990208215714,77.2999939919,34.0
2016-08-01,26.987071445985716,83.89869362967144,97.0000028611,45.0
2016-08-08,27.122786113185715,85.49779728481428,63.3000001908,32.0
2016-08-15,27.537071772971426,86.44503784178572,95.9999999554,20.0
2016-08-22,27.337071827471426,84.10048784528571,53.5000014306,55.0
2016-08-29,29.18707193647143,75.78205217632856,23.5000005738,32.0
2016-09-05,27.929928915857143,81.80969020297142,109.2999982835,44.0
2016-09-12,27.579929079342858,82.4665440150857,54.899996474400005,23.0
2016-09-19,27.47992869787143,80.95731026785714,72.20000076299999,27.0
2016-09-26,27.351357596285713,83.09126063755714,74.3999977112,10.0
2016-10-03,27.629928861357143,82.0175301688,119.0000070334,17.0
2016-10-10,27.09421457564286,83.8767209734143,90.9000020027,6.0
2016-10-17,28.43707166397143,79.49092973981429,68.3999996185,14.0
2016-10-24,28.651357378285716,76.97273363387141,15.3999996781,9.0
2016-10-31,27.001357487271427,84.46601213728572,106.9000000061,7.0
2016-11-07,28.144214357657145,71.04803357805714,0.6000000238000001,8.0
2016-11-14,28.551356996814285,75.88208770751429,40.1999986695,1.0
2016-11-21,27.951357432757142,78.68593488421428,136.4000101089,8.0
2016-11-28,28.308500289914285,75.71902247837143,9.5000003575,0.0
2016-12-05,27.894214357642856,79.0748890468,28.699999906200002,3.0
2016-12-12,27.415643147057143,81.12411499024286,52.2999985218,4.0
2016-12-19,28.151357378271427,74.1024747576,6.8000004292,2.0
2016-12-26,28.3641433716,76.61737823485714,11.299999833,2.0
2017-01-02,28.426570892342856,71.8433505467,4.9000000954,1.0
2017-01-09,27.369428362185715,78.88330187115714,58.000002265,1.0
2017-01-16,27.49800000872857,73.60417829241429,18.2999988794,0.0
2017-01-23,27.669428144185712,70.51328713552857,0.400000006,1.0
2017-01-30,28.740856443142857,69.30700411115716,10.6999992878,0.0
2017-02-06,28.1908569336,65.71321650912857,6.8999999761,0.0
2017-02-13,27.87657111032857,63.55654743737143,13.4000015259,0.0
2017-02-20,29.283714021971427,65.43077414374285,24.800001621299998,0.0
2017-02-27,29.840856824585718,54.58572769165715,0.30000001190000003,1.0
2017-03-06,27.469428198685712,70.28439930508571,29.5999999046,0.0
2017-03-13,28.4694281987,69.6866798401,42.6000034362,0.0
2017-03-20,29.96942819867143,62.58364977154286,4.0999999643,0.0
2017-03-27,29.32657105584286,67.05713926044287,26.0000005738,0.0
2017-04-03,29.469428198685712,66.27013996671428,1.8999999537999999,0.0
2017-04-10,31.490856443157146,56.153591156,7.899999812300001,0.0
2017-04-17,30.7765712738,64.43359592982857,15.000000953699999,0.0
