Feature,Importance
Cases_lag_1,0.4287918185274916
Cases_lag_2,0.252632444752805
Cases_lag_3,0.058727949521405955
Temperature_lag_4,0.022227911297570582
Cases_lag_8,0.02177848284541234
Humidity_lag_4,0.020740344676475213
Precipitation_lag_4,0.016340661608284866
Temperature_lag_1,0.016017078947676882
Temperature_lag_3,0.015385019710168486
Precipitation_lag_1,0.013594524827439006
Humidity_lag_3,0.013268741382140929
Cases_lag_11,0.012656313544645168
Temperature,0.012143635208863652
Precipitation_lag_3,0.011439746389870975
Precipitation_lag_2,0.011347731452095472
Cases_lag_4,0.009287901943298045
Humidity_lag_1,0.008580975560918856
Humidity,0.00765981601839965
Cases_lag_6,0.007343702363581669
Cases_lag_5,0.007274981084780147
Precipitation,0.006369061629062403
Humidity_lag_2,0.0061295295753187535
Temperature_lag_2,0.005973003036116254
Cases_lag_7,0.005728682198768118
Cases_lag_9,0.005651821843645497
Cases_lag_10,0.0029081200537646704
